path,filename,label,source,size_bytes,md5,is_exact_duplicate,keep,corrupt,width,height,mode,too_small,zero_bytes
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/049_4d6df392.jpg,049_4d6df392.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,38204,82afa1737f5130c6f04a4daab4647d16,False,True,False,474,474,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/051_268fdfd7.jpg,051_268fdfd7.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,39456,6621a2f6c6f8911592cf602e0d7b9629,False,True,False,474,544,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/045_c560251e.jpg,045_c560251e.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,23823,f132048f620016532140e3a54e897ead,False,True,False,474,474,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/052_6db5f5bf.jpg,052_6db5f5bf.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,36932,065dfb2b8c7f7b73ead50aa232e6dc74,False,True,False,474,580,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/006_9135205d.jpg,006_9135205d.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,45088,f0b3c2ccdb2adc2cdaa807df5d718678,False,True,False,474,568,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/020_4c4b655f.jpg,020_4c4b655f.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,45234,bb5722316676f0e1ecf87a6ef53acc9b,False,True,False,474,568,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/025_41cee764.jpg,025_41cee764.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,35507,d7ce8056301c1bd55b08e204bbe3220b,False,True,False,474,586,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/024_ca32be97.jpg,024_ca32be97.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,5173,263933f2eb01450ddb9b550d34e1e1b0,False,True,False,160,160,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/092_26130bb1.jpg,092_26130bb1.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,29468,8aa5b90a068baab9e952b8a5dc73b61d,False,True,False,474,569,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/066_b378479b.jpg,066_b378479b.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,41343,bf7c1e75c3c7a8ef3d6d9aed33697ef9,False,True,False,474,591,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/065_689150aa.jpg,065_689150aa.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,32499,677e2ad1b11f404df8f7c9434deb9922,False,True,False,474,591,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/003_57612506.jpg,003_57612506.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,33755,195e0617b74b91de0e8501e35d96c1b7,False,True,False,474,568,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/015_8bac79b5.jpg,015_8bac79b5.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,47791,429e62bf6a0dc0188f8daf4fc6b0c6d3,False,True,False,474,581,RGB,False,False
